a,0,0,1,0,0,0,1,1,0,0,0
b,1,0,0,0,1,0,1,1,0,0,0
c,0,0,1,0,0,0,0,0,0,0,0
d,1,0,1,0,0,0,1,1,0,0,0
e,0,0,1,0,0,0,0,0,0,0,1
f,1,0,0,0,0,0,0,1,0,0,1
g,0,1,1,0,0,0,1,1,0,0,0
h,1,0,0,0,0,0,0,1,0,0,0
i,0,0,0,0,0,0,0,1,0,0,0
j,0,1,0,0,0,0,0,1,0,0,0
k,1,0,0,0,0,0,0,1,1,1,0
l,1,0,0,0,0,0,0,1,0,0,0
m,0,0,0,0,0,0,0,1,0,0,0
n,0,0,0,0,0,0,0,1,0,0,0
o,0,0,1,0,1,0,1,0,0,0,0
p,0,1,0,0,1,0,1,1,0,0,0
q,0,1,1,0,0,0,1,1,0,0,0
r,0,0,0,0,0,0,0,1,0,0,0
s,0,0,1,0,1,0,0,0,0,0,0
t,0,0,0,0,0,0,0,1,0,0,1
u,0,0,0,0,0,0,0,1,0,0,0
v,0,0,0,0,0,0,0,0,1,1,0
w,0,0,0,0,0,0,0,0,1,1,0
x,0,0,0,0,0,0,0,0,1,1,0
y,0,1,0,0,0,0,0,0,1,1,0
z,0,0,0,0,0,0,0,0,1,0,1
A,0,0,0,0,0,0,0,0,1,1,1
B,1,0,0,0,1,0,1,1,0,0,0
C,0,0,0,1,0,0,0,0,0,0,0
D,1,0,0,0,0,1,1,1,0,0,0
E,1,0,0,0,0,0,0,1,0,0,1
F,1,0,0,0,0,0,0,1,0,0,1
G,0,0,0,1,0,0,0,0,0,0,1
H,1,0,0,0,0,0,0,1,0,0,1
I,1,0,0,0,0,0,0,1,0,0,0
J,1,0,0,0,0,0,0,1,0,0,0
K,1,0,0,0,0,0,0,1,1,1,0
L,1,0,0,0,0,0,0,1,0,0,1
M,1,0,0,0,0,0,0,1,1,1,0
N,1,0,0,0,0,0,0,1,1,1,0
O,0,0,0,1,0,1,1,0,0,0,0
P,1,0,0,0,1,0,1,1,0,0,0
Q,0,0,0,1,0,1,1,0,0,0,0
R,1,0,0,0,1,0,1,1,0,1,0
S,0,0,1,0,1,0,0,0,0,0,0
T,1,0,0,0,0,0,0,1,0,0,1
U,1,0,0,0,0,0,0,1,0,0,0
V,0,0,0,0,0,0,0,0,0,1,0
W,0,0,0,0,0,0,0,0,1,1,0
X,0,0,0,0,0,0,0,0,1,1,0
Y,0,0,0,0,0,0,0,1,1,1,0
Z,0,0,0,0,0,0,0,0,1,0,1